#cenlam,width
988.0,12
1000,12
1015.6,12
1029.9,12
1044.2,13
1059.5,13
1074.5,14
1090.2,14
1106.6,15
1123.1,15
1158.8,16
1176.7,16
1196.0,16
1215.9,16
1235.5,16
1256.9,17
1277.9,17
1298.7,17
1505.0,13.5
1520.5,13.5
1536.2,14
1552.0,14
1568.6,14.5
1585.1,14.5
1602.0,15
1620.0,15.5
1637.2,16.0
1655.3,16.4
1673.9,16.7
1692.9,17
1711.9,17
1732,18
1752.9,18
1773.8,19
1795.1,19
1817.5,20
1839.3,20
1862.5,21
1886.6,21
1910.1,22
1934.8,23
1960.3,23
1986.5,24
2012.9,24
2041.2,25
2068.9,25
2098.3,25
2128.3,26
2160.1,26
2190.8,27
2222.7,27
2257.3,28
2289.6,28
2326.0,29
2364.6,29
2403.0,29.9
2441.9,30






